Id,Time,Machine,Component,Parameter,Value,Threshold,Probability of Failure
1,06-05-2024 07:39,Asphalt_Paver_1,Drive,Brake Control,10,Medium,Medium
1,28-06-2024 01:17,Articulated_Truck_1,Drive,Brake Control,2,Medium,Medium
1,28-06-2024 23:08,Dozer_1,Drive,Brake Control,7,Medium,Medium
1,07-06-2024 08:39,Backhoe_Loader_1,Drive,Brake Control,6,Medium,Medium
1,29-06-2024 22:23,Excavator_1,Drive,Brake Control,9,Medium,Medium
1,23-05-2024 06:10,Asphalt_Paver_1,Engine,Speed,1340,Medium,Medium
1,12-05-2024 09:47,Articulated_Truck_1,Engine,Speed,1700,Medium,Medium
1,05-05-2024 13:42,Excavator_1,Engine,Speed,1755,Medium,Medium
1,19-05-2024 10:40,Backhoe_Loader_1,Engine,Speed,1352,Medium,Medium
1,07-05-2024 09:44,Dozer_1,Engine,Speed,1580,Medium,Medium
1,19-05-2024 14:48,Asphalt_Paver_1,Misc,System Voltage,13.22,Medium,High
1,23-05-2024 10:00,Articulated_Truck_1,Misc,System Voltage,12.6,Medium,High
1,29-05-2024 01:45,Excavator_1,Misc,System Voltage,13.64227188,Medium,High
1,14-06-2024 07:01,Backhoe_Loader_1,Misc,System Voltage,14.95455433,Medium,High
1,14-05-2024 21:15,Dozer_1,Misc,System Voltage,13.25205631,Medium,High
1,27-06-2024 21:17,Excavator_1,Fuel,Water in Fuel,434,Medium,High
1,17-06-2024 11:44,Backhoe_Loader_1,Fuel,Water in Fuel,1655,Medium,High
1,09-06-2024 14:04,Articulated_Truck_1,Fuel,Water in Fuel,50,Medium,High
1,25-05-2024 03:32,Dozer_1,Fuel,Water in Fuel,286,Medium,High
1,12-06-2024 23:59,Asphalt_Paver_1,Fuel,Water in Fuel,1444,Medium,High
2,06-05-2024 21:13,Dozer_1,Misc,Exhaust Gas Temparature,244,Medium,High
2,20-06-2024 14:48,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,217,Medium,High
2,08-06-2024 20:46,Excavator_1,Misc,Exhaust Gas Temparature,304,Medium,High
2,21-05-2024 22:05,Asphalt_Paver_1,Misc,Exhaust Gas Temparature,249,Medium,High
2,01-06-2024 21:02,Articulated_Truck_1,Misc,Exhaust Gas Temparature,190,Medium,High
2,02-06-2024 19:20,Asphalt_Paver_1,Fuel,Level,6,Medium,Low
2,02-05-2024 05:43,Dozer_1,Fuel,Level,2,Medium,Low
2,27-05-2024 08:34,Excavator_1,Fuel,Level,2,Medium,Low
2,03-06-2024 05:13,Backhoe_Loader_1,Fuel,Level,1,Low,Low
2,15-05-2024 20:33,Articulated_Truck_1,Fuel,Level,10,Medium,Low
2,06-05-2024 20:48,Dozer_1,Engine,Temparature,91,Medium,High
2,29-06-2024 18:42,Excavator_1,Engine,Temparature,93,Medium,High
2,22-06-2024 10:39,Backhoe_Loader_1,Engine,Temparature,75,Medium,High
2,13-05-2024 06:00,Asphalt_Paver_1,Engine,Temparature,86,Medium,High
2,09-06-2024 08:21,Articulated_Truck_1,Engine,Temparature,75,Medium,High
2,25-06-2024 01:19,Asphalt_Paver_1,Drive,Transmission Pressure,281,Medium,Medium
2,25-05-2024 15:52,Excavator_1,Drive,Transmission Pressure,406,Medium,Medium
2,01-06-2024 06:08,Dozer_1,Drive,Transmission Pressure,337,Medium,Medium
2,02-05-2024 07:24,Articulated_Truck_1,Drive,Transmission Pressure,220,Medium,Medium
2,14-06-2024 15:29,Backhoe_Loader_1,Drive,Transmission Pressure,219,Medium,Medium
3,13-06-2024 16:09,Asphalt_Paver_1,Misc,Hydraulic Pump Rate,124,Medium,Medium
3,12-06-2024 21:23,Dozer_1,Misc,Hydraulic Pump Rate,122,Medium,Medium
3,29-06-2024 22:33,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,95,Medium,Medium
3,27-05-2024 06:31,Excavator_1,Misc,Hydraulic Pump Rate,124,Medium,Medium
3,19-06-2024 04:00,Articulated_Truck_1,Misc,Hydraulic Pump Rate,115,Medium,Medium
3,20-06-2024 22:44,Asphalt_Paver_1,Engine,Oil Pressure,58,Medium,High
3,28-06-2024 02:33,Dozer_1,Engine,Oil Pressure,53,Medium,High
3,12-06-2024 06:40,Backhoe_Loader_1,Engine,Oil Pressure,30,Medium,High
3,01-06-2024 18:55,Articulated_Truck_1,Engine,Oil Pressure,60,Medium,High
3,07-05-2024 16:15,Excavator_1,Engine,Oil Pressure,59,Medium,High
3,13-06-2024 00:44,Excavator_1,Drive,Pedal Sensor,3.550386723,Medium,Low
3,12-05-2024 06:44,Dozer_1,Drive,Pedal Sensor,3.038219028,Medium,Low
3,06-06-2024 06:35,Backhoe_Loader_1,Drive,Pedal Sensor,4.827011927,High,Low
3,26-06-2024 17:42,Asphalt_Paver_1,Drive,Pedal Sensor,3.06,Medium,Low
3,20-05-2024 20:12,Articulated_Truck_1,Drive,Pedal Sensor,4.2,Medium,Low
3,04-06-2024 23:24,Articulated_Truck_1,Fuel,Temparature,0,Medium,High
3,15-05-2024 18:09,Dozer_1,Fuel,Temparature,298,Medium,High
3,28-06-2024 04:22,Asphalt_Paver_1,Fuel,Temparature,394,Medium,High
3,20-06-2024 16:43,Excavator_1,Fuel,Temparature,398,Medium,High
3,01-05-2024 08:01,Backhoe_Loader_1,Fuel,Temparature,243,Medium,High
4,25-06-2024 22:35,Dozer_1,Misc,Air Filter Pressure,34,Medium,Medium
4,05-06-2024 00:21,Excavator_1,Misc,Air Filter Pressure,22,Medium,Medium
4,23-06-2024 05:12,Backhoe_Loader_1,Misc,Air Filter Pressure,30,Medium,Medium
4,30-06-2024 19:39,Asphalt_Paver_1,Misc,Air Filter Pressure,26,Medium,Medium
4,23-06-2024 23:50,Articulated_Truck_1,Misc,Air Filter Pressure,22,Medium,Medium
4,21-05-2024 23:07,Articulated_Truck_1,Fuel,Pressure,44,Medium,Low
4,30-05-2024 14:58,Dozer_1,Fuel,Pressure,47,Medium,Low
4,03-06-2024 16:57,Backhoe_Loader_1,Fuel,Pressure,37,Medium,Low
4,22-05-2024 11:28,Asphalt_Paver_1,Fuel,Pressure,45,Medium,Low
4,22-05-2024 23:13,Excavator_1,Fuel,Pressure,43,Medium,Low
4,09-06-2024 03:45,Backhoe_Loader_1,Engine,Temparature,82,Medium,High
4,23-05-2024 12:25,Asphalt_Paver_1,Engine,Temparature,98,Medium,High
4,11-06-2024 14:27,Excavator_1,Engine,Temparature,104,Medium,High
4,03-06-2024 21:24,Articulated_Truck_1,Engine,Temparature,78,Medium,High
4,16-05-2024 08:00,Dozer_1,Engine,Temparature,89,Medium,High
4,17-06-2024 07:14,Dozer_1,Drive,Transmission Pressure,246,Medium,Medium
4,14-05-2024 11:42,Backhoe_Loader_1,Drive,Transmission Pressure,292,Medium,Medium
4,07-06-2024 03:43,Excavator_1,Drive,Transmission Pressure,263,Medium,Medium
4,21-05-2024 11:13,Articulated_Truck_1,Drive,Transmission Pressure,335,Medium,Medium
4,07-05-2024 21:40,Asphalt_Paver_1,Drive,Transmission Pressure,259,Medium,Medium
5,29-05-2024 00:32,Excavator_1,Drive,Pedal Sensor,3.726178894,Medium,Low
5,01-06-2024 00:48,Articulated_Truck_1,Drive,Pedal Sensor,4.4,Medium,Low
5,05-06-2024 01:06,Backhoe_Loader_1,Drive,Pedal Sensor,4.409465609,Medium,Low
5,28-05-2024 03:30,Dozer_1,Drive,Pedal Sensor,4.784579445,High,Low
5,28-06-2024 04:42,Asphalt_Paver_1,Drive,Pedal Sensor,3.78,Medium,Low
5,24-06-2024 17:00,Dozer_1,Engine,Speed,1456,Medium,Medium
5,17-05-2024 08:18,Asphalt_Paver_1,Engine,Speed,1538,Medium,Medium
5,28-06-2024 06:46,Excavator_1,Engine,Speed,1523,Medium,Medium
5,23-06-2024 11:02,Articulated_Truck_1,Engine,Speed,1750,Medium,Medium
5,23-06-2024 06:41,Backhoe_Loader_1,Engine,Speed,1390,Medium,Medium
5,22-05-2024 12:43,Backhoe_Loader_1,Misc,System Voltage,14.99601457,Medium,High
5,08-06-2024 13:17,Dozer_1,Misc,System Voltage,13.86743623,Medium,High
5,20-06-2024 12:05,Excavator_1,Misc,System Voltage,13.76061245,Medium,High
5,23-06-2024 20:53,Articulated_Truck_1,Misc,System Voltage,13.1,Medium,High
5,29-05-2024 01:31,Asphalt_Paver_1,Misc,System Voltage,15.42,High,High
5,08-05-2024 08:35,Asphalt_Paver_1,Fuel,Water in Fuel,1413,Medium,High
5,21-06-2024 11:20,Excavator_1,Fuel,Water in Fuel,276,Medium,High
5,06-06-2024 18:13,Dozer_1,Fuel,Water in Fuel,287,Medium,High
5,12-05-2024 02:05,Articulated_Truck_1,Fuel,Water in Fuel,70,Medium,High
5,19-06-2024 00:00,Backhoe_Loader_1,Fuel,Water in Fuel,125,Medium,High
6,02-05-2024 08:37,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,223,Medium,High
6,15-06-2024 13:51,Excavator_1,Misc,Exhaust Gas Temparature,312,Medium,High
6,29-06-2024 14:50,Articulated_Truck_1,Misc,Exhaust Gas Temparature,210,Medium,High
6,04-05-2024 21:10,Dozer_1,Misc,Exhaust Gas Temparature,368,High,High
6,11-06-2024 03:24,Asphalt_Paver_1,Misc,Exhaust Gas Temparature,323,Medium,High
6,03-06-2024 15:23,Dozer_1,Fuel,Level,6,Medium,Low
6,07-06-2024 14:19,Articulated_Truck_1,Fuel,Level,9,Medium,Low
6,28-06-2024 08:12,Asphalt_Paver_1,Fuel,Level,1,Low,Low
6,03-06-2024 18:21,Excavator_1,Fuel,Level,10,Medium,Low
6,23-05-2024 18:45,Backhoe_Loader_1,Fuel,Level,5,Medium,Low
6,20-06-2024 15:06,Excavator_1,Engine,Oil Pressure,60,Medium,High
6,03-06-2024 11:49,Asphalt_Paver_1,Engine,Oil Pressure,62,Medium,High
6,21-06-2024 17:50,Articulated_Truck_1,Engine,Oil Pressure,67,High,High
6,28-06-2024 13:49,Dozer_1,Engine,Oil Pressure,61,Medium,High
